0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Mental retardation,0,0,0,0,0,0,0,0,23,185,57,228,116,220,196,633
Mumps,5,5,119,113,144,165,105,82,34,51,87,46,187,114,681,576
Myocardial infarction,0,0,0,0,0,0,0,0,233,191,1699,618,2839,828,4771,1637
Nasal polyp,0,2,0,0,172,146,155,173,202,205,154,141,131,112,814,779
Nasopharyngal carcinoma,0,0,0,0,0,0,1,0,5,1,5,0,0,0,11,1
Nephrotic syndrome,5,5,11,24,176,137,236,182,57,88,90,68,42,46,617,550
Night blindness,0,0,0,0,30,33,30,36,3,11,80,49,286,392,429,521
Obst. jaundice,97,49,130,126,110,115,121,116,148,139,191,237,112,81,909,863
Obstructed labour,0,0,0,0,0,0,0,0,0,1967,0,3186,0,526,0,5679
Orchitis,0,0,0,0,0,0,0,0,23,0,152,0,14,0,189,0
Osteomyelitis,0,0,0,0,2,13,7,9,76,84,53,71,49,40,187,217
Osteosarcoma,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
Ovarian tumour,0,0,0,0,0,0,0,0,0,241,0,329,0,188,0,758
Pancreatitis,0,0,0,0,0,0,1,0,0,5,23,7,3,0,27,12
Pelvic infectious disease,0,0,0,0,0,0,0,0,0,387,0,713,0,446,0,1546
Peptic ulcer,0,0,0,0,0,1,3,20,3502,3500,8921,9096,5810,5847,18236,18464
Perforation (GI Tract),0,0,0,0,0,0,7,4,188,33,693,228,516,369,1404,634
Peripheral vascular disease,0,0,0,0,0,0,2,1,4,7,69,6,86,19,161,33
Pleural effusion,144,112,705,462,256,125,201,186,237,241,546,381,347,159,2436,1666
Pneumonia,5445,4026,15055,10437,9632,7438,3123,2401,689,416,647,417,324,207,34915,25342
Pneumothorax,80,65,80,42,81,56,30,36,6,16,35,16,20,5,332,236
Poisoning,1,1,49,67,435,288,555,554,2539,2681,3922,3911,984,914,8485,8416
Poliomyelitis,0,0,6,4,10,8,11,8,33,203,31,42,27,15,118,280
PPH,0,0,0,0,0,0,0,0,0,880,0,707,0,211,0,1798
Prostatic tumour,0,0,0,0,0,0,0,0,165,0,178,0,227,0,570,0
Prostatitis,0,0,0,0,0,0,0,0,180,0,197,0,253,0,630,0
"Protein energy
malnutrition",37,22,112,147,245,157,145,115,113,97,78,80,62,56,792,674
Pulmonary fibrosis,0,0,0,0,0,0,0,0,40,45,30,25,35,28,105,98
Pyelonephritis,0,0,0,0,0,0,1,0,12,0,41,69,18,85,72,154
Rabis,0,0,2,9,24,19,25,36,28,12,21,25,27,39,127,140
Rectal prolapse,0,0,0,1,29,24,35,33,75,62,172,100,160,101,471,321
Refractive error,0,0,0,0,0,0,0,0,55,38,68,37,83,83,206,158
Renal failure,0,0,1,0,1,10,17,43,121,383,178,180,325,135,643,751
Renal stone,0,0,0,0,0,0,0,1,27,29,229,195,247,274,503,499
Retinal problem,0,0,0,0,0,2,30,40,56,109,104,157,116,95,306,403
Rheumatic fever,0,0,0,0,17,21,158,132,177,191,93,96,45,36,490,476
Rhinitis,0,0,0,0,0,0,4,3,3,8,1,3,1,0,9,14
Rickets,0,0,0,0,4,1,111,122,115,113,127,115,125,121,482,472
Road-traffic accident,0,1,25,43,473,677,2232,1536,4018,1903,10833,3075,4312,1779,21893,9014
Rupture uterus,0,0,0,0,0,0,0,0,0,92,0,134,0,90,0,316
Scabies,13,14,42,204,1488,2135,1948,1830,1000,1227,244,210,232,244,4967,5864
